TITLE = "oxygen alpha expdata" 

  VARIABLES = Tr	exp_alpha_1MPa	exp_alpha_5MPa	exp_alpha_10MPa
0.388098318	0.785657918	0.762403097	0.734166068
0.549805951	0.891094011	0.864198679	0.831391003
0.711513583	0.975299788	0.943905139	0.906190173
0.873221216	0.996347712	1.002646934	0.960061241
1.034928849	0.895241719	0.964813424	0.980775374
1.196636481	0.820200524	0.867751088	0.916937524
1.358344114	0.75881233	0.796380555	0.835236106
1.520051746	0.707212801	0.737393885	0.768554313
1.681759379	0.660781958	0.685791141	0.711327217
1.843467012	0.616940402	0.639340133	0.660592991
2.005174644	0.579895122	0.596939695	0.614466345
2.166882277	0.543564149	0.557506899	0.572063799
2.328589909	0.508836982	0.520741297	0.532606334
2.490297542	0.478115086	0.485935363	0.495589083
2.587322122	0.457281073	0.466057458	0.474412466

		
		
		
		
		
		
		
		
		
